,average_price,total_volume,type,year,geography
60,1.05,321823.77,conventional,2015,Northern New England
61,1.83,7301.3,organic,2015,Northern New England
62,1.0,281803.19,conventional,2015,Orlando
63,1.8,2057.29,organic,2015,Orlando
64,1.1,407675.56,conventional,2015,Philadelphia
65,1.72,3788.6,organic,2015,Philadelphia
66,0.65,1048062.16,conventional,2015,Phoenix/Tucson
67,1.12,17296.85,organic,2015,Phoenix/Tucson
68,1.52,54956.8,conventional,2015,Pittsburgh
69,1.81,1339.36,organic,2015,Pittsburgh
70,1.01,1683795.3,conventional,2015,Plains
71,1.69,34190.37,organic,2015,Plains
72,0.97,599965.86,conventional,2015,Portland
73,1.28,32927.82,organic,2015,Portland
74,1.2,221086.46,conventional,2015,Raleigh/Greensboro
75,2.01,3397.0,organic,2015,Raleigh/Greensboro
76,1.13,182697.97,conventional,2015,Richmond/Norfolk
77,1.54,4212.16,organic,2015,Richmond/Norfolk
78,1.13,109215.0,conventional,2015,Roanoke
79,1.39,4414.29,organic,2015,Roanoke
80,1.05,430138.88,conventional,2015,Sacramento
81,1.33,9213.49,organic,2015,Sacramento
82,0.94,461607.33,conventional,2015,San Diego
83,1.23,19089.36,organic,2015,San Diego
84,0.99,907795.89,conventional,2015,San Francisco
85,1.18,22630.58,organic,2015,San Francisco
86,0.97,634522.34,conventional,2015,Seattle
87,1.49,33795.91,organic,2015,Seattle
88,1.01,309024.22,conventional,2015,South Carolina
89,1.86,3351.76,organic,2015,South Carolina
90,0.77,5144267.01,conventional,2015,South Central
91,1.35,53494.91,organic,2015,South Central
92,0.98,3204112.16,conventional,2015,Southeast
93,1.75,27365.89,organic,2015,Southeast
94,1.0,84612.39,conventional,2015,Spokane
95,1.3,5782.7,organic,2015,Spokane
96,1.15,198735.26,conventional,2015,St. Louis
97,1.8,3597.07,organic,2015,St. Louis
98,1.33,41143.51,conventional,2015,Syracuse
99,1.72,593.39,organic,2015,Syracuse
100,0.97,339909.13,conventional,2015,Tampa
101,1.7,1885.48,organic,2015,Tampa
102,0.95,31324277.73,conventional,2015,Total U.S.
103,1.46,612910.15,organic,2015,Total U.S.
104,0.89,5794410.58,conventional,2015,West
105,1.4,187548.3,organic,2015,West
106,0.75,758118.95,conventional,2015,West Tex/New Mexico
107,1.64,6182.81,organic,2015,West Tex/New Mexico
108,1.24,41195.08,conventional,2015,Albany
109,1.77,1182.56,organic,2015,Albany
110,1.11,397542.72,conventional,2015,Atlanta
111,1.84,3743.82,organic,2015,Atlanta
112,1.17,670231.94,conventional,2015,Baltimore/Washington
113,1.22,26008.88,organic,2015,Baltimore/Washington
114,1.18,57355.52,conventional,2015,Boise
115,1.44,2378.68,organic,2015,Boise
116,1.1,437771.89,conventional,2015,Boston
117,1.94,2217.82,organic,2015,Boston
118,1.54,106221.32,conventional,2015,Buffalo/Rochester
119,1.59,2078.49,organic,2015,Buffalo/Rochester
120,0.92,6024932.34,conventional,2015,California
121,1.1,158110.68,organic,2015,California
122,1.26,159942.68,conventional,2015,Charlotte
123,2.29,2390.22,organic,2015,Charlotte
124,1.15,802874.94,conventional,2015,Chicago
125,1.79,12915.74,organic,2015,Chicago
126,0.92,201392.27,conventional,2015,Cincinnati/Dayton
127,1.32,11313.77,organic,2015,Cincinnati/Dayton
128,0.97,125742.48,conventional,2015,Columbus
129,1.68,4193.17,organic,2015,Columbus
130,0.76,1128693.04,conventional,2015,Dallas/Ft. Worth
131,1.35,12126.63,organic,2015,Dallas/Ft. Worth
132,1.09,666579.35,conventional,2015,Denver
133,1.28,30682.77,organic,2015,Denver
134,1.08,332165.05,conventional,2015,Detroit
135,1.87,6926.75,organic,2015,Detroit
136,1.03,185135.41,conventional,2015,Grand Rapids
137,1.87,761.86,organic,2015,Grand Rapids
138,1.1,3067638.32,conventional,2015,Great Lakes
139,1.69,58061.65,organic,2015,Great Lakes
140,1.26,178735.25,conventional,2015,Harrisburg/Scranton
141,1.65,3882.88,organic,2015,Harrisburg/Scranton
142,1.38,232640.15,conventional,2015,Hartford/Springfield
143,2.28,3463.61,organic,2015,Hartford/Springfield
144,0.78,1062071.65,conventional,2015,Houston
145,1.26,7561.0,organic,2015,Houston
146,1.25,138617.04,conventional,2015,Indianapolis
147,1.83,1410.31,organic,2015,Indianapolis
148,1.2,99757.17,conventional,2015,Jacksonville
149,1.91,1248.89,organic,2015,Jacksonville
150,0.93,274481.48,conventional,2015,Las Vegas
151,1.54,6144.55,organic,2015,Las Vegas
152,0.85,2713699.6,conventional,2015,Los Angeles
153,1.08,60232.63,organic,2015,Los Angeles
154,1.05,75129.36,conventional,2015,Louisville
155,1.79,1435.48,organic,2015,Louisville
156,1.28,342796.99,conventional,2015,Miami/Ft. Lauderdale
157,1.85,1614.56,organic,2015,Miami/Ft. Lauderdale
158,1.17,2335986.11,conventional,2015,Midsouth
159,1.52,65483.08,organic,2015,Midsouth
160,1.07,149832.2,conventional,2015,Nashville
161,1.92,2892.29,organic,2015,Nashville
162,0.97,239232.35,conventional,2015,New Orleans/Mobile
163,1.44,1492.44,organic,2015,New Orleans/Mobile
164,1.34,1018225.83,conventional,2015,New York
165,2.03,14817.97,organic,2015,New York
166,1.28,3056024.77,conventional,2015,Northeast
167,1.86,50079.81,organic,2015,Northeast
168,1.06,314717.03,conventional,2015,Northern New England
169,1.88,6485.3,organic,2015,Northern New England
170,1.29,202034.59,conventional,2015,Orlando
171,1.92,1610.6,organic,2015,Orlando
172,1.38,315984.22,conventional,2015,Philadelphia
173,1.63,6715.18,organic,2015,Philadelphia
174,0.61,1110753.05,conventional,2015,Phoenix/Tucson
175,1.36,14035.18,organic,2015,Phoenix/Tucson
176,1.54,54644.32,conventional,2015,Pittsburgh
177,1.82,1663.25,organic,2015,Pittsburgh
178,1.09,1402841.83,conventional,2015,Plains
179,1.68,37617.95,organic,2015,Plains
180,1.05,510152.67,conventional,2015,Portland
181,1.22,43116.44,organic,2015,Portland
182,1.24,205760.67,conventional,2015,Raleigh/Greensboro
183,1.98,3862.72,organic,2015,Raleigh/Greensboro
184,1.15,194460.59,conventional,2015,Richmond/Norfolk
185,1.66,2914.35,organic,2015,Richmond/Norfolk
186,1.16,113235.82,conventional,2015,Roanoke
187,1.47,5128.06,organic,2015,Roanoke
188,1.09,429492.28,conventional,2015,Sacramento
189,1.27,7598.26,organic,2015,Sacramento
190,0.82,544667.18,conventional,2015,San Diego
191,1.05,20089.52,organic,2015,San Diego
192,1.03,916450.76,conventional,2015,San Francisco
193,1.12,29676.78,organic,2015,San Francisco
194,1.06,527350.82,conventional,2015,Seattle
195,1.46,46687.01,organic,2015,Seattle
196,1.1,279706.73,conventional,2015,South Carolina
197,2.06,2304.3,organic,2015,South Carolina
198,0.8,5409726.02,conventional,2015,South Central
199,1.39,53328.53,organic,2015,South Central
200,1.18,2433295.61,conventional,2015,Southeast
201,1.83,23690.65,organic,2015,Southeast
202,1.07,70697.07,conventional,2015,Spokane
203,1.38,4780.87,organic,2015,Spokane
204,1.29,164917.61,conventional,2015,St. Louis
205,1.84,3762.18,organic,2015,St. Louis
206,1.45,42017.49,conventional,2015,Syracuse
207,1.66,762.15,organic,2015,Syracuse
208,1.24,235231.08,conventional,2015,Tampa
209,1.84,1258.62,organic,2015,Tampa
210,1.01,29063542.75,conventional,2015,Total U.S.
211,1.42,669528.88,organic,2015,Total U.S.
212,0.95,5333097.71,conventional,2015,West
213,1.39,223156.55,organic,2015,West
214,0.92,584896.99,conventional,2015,West Tex/New Mexico
215,1.69,6861.73,organic,2015,West Tex/New Mexico
216,1.17,44511.28,conventional,2015,Albany
217,1.93,1118.47,organic,2015,Albany
218,1.11,431490.99,conventional,2015,Atlanta
219,1.86,4294.01,organic,2015,Atlanta
220,1.23,657741.34,conventional,2015,Baltimore/Washington
221,1.41,14057.45,organic,2015,Baltimore/Washington
222,1.08,62870.49,conventional,2015,Boise
223,1.44,2973.94,organic,2015,Boise
224,1.23,401331.33,conventional,2015,Boston
225,2.0,2209.34,organic,2015,Boston
226,1.52,107040.29,conventional,2015,Buffalo/Rochester
227,1.64,1426.87,organic,2015,Buffalo/Rochester
228,1.02,5570915.26,conventional,2015,California
229,1.24,195207.6,organic,2015,California
230,1.25,152671.15,conventional,2015,Charlotte
231,2.15,2697.81,organic,2015,Charlotte
232,1.14,797741.43,conventional,2015,Chicago
233,1.81,12499.87,organic,2015,Chicago
234,0.93,175681.09,conventional,2015,Cincinnati/Dayton
235,1.37,10051.4,organic,2015,Cincinnati/Dayton
236,1.02,116450.21,conventional,2015,Columbus
237,1.84,4027.45,organic,2015,Columbus
238,0.76,1091677.29,conventional,2015,Dallas/Ft. Worth
239,1.28,12634.71,organic,2015,Dallas/Ft. Worth
240,0.99,808194.41,conventional,2015,Denver
241,1.1,42234.91,organic,2015,Denver
242,1.1,291788.43,conventional,2015,Detroit
243,1.9,7656.72,organic,2015,Detroit
244,1.07,150201.39,conventional,2015,Grand Rapids
245,1.88,706.15,organic,2015,Grand Rapids
246,1.08,3006207.02,conventional,2015,Great Lakes
247,1.73,57646.9,organic,2015,Great Lakes
248,1.24,182604.68,conventional,2015,Harrisburg/Scranton
249,1.94,1355.5,organic,2015,Harrisburg/Scranton
250,1.39,229216.05,conventional,2015,Hartford/Springfield
251,2.35,2552.09,organic,2015,Hartford/Springfield
252,0.77,1017854.16,conventional,2015,Houston
253,1.2,9979.64,organic,2015,Houston
254,1.14,149319.82,conventional,2015,Indianapolis
255,1.96,1083.8,organic,2015,Indianapolis
256,1.27,99496.16,conventional,2015,Jacksonville
257,1.82,1403.1,organic,2015,Jacksonville
258,1.06,233186.09,conventional,2015,Las Vegas
259,1.63,6032.31,organic,2015,Las Vegas
260,0.89,2800679.5,conventional,2015,Los Angeles
261,1.29,43649.12,organic,2015,Los Angeles
262,1.06,85580.15,conventional,2015,Louisville
263,1.79,1106.86,organic,2015,Louisville
264,1.3,405138.19,conventional,2015,Miami/Ft. Lauderdale
265,1.87,1459.37,organic,2015,Miami/Ft. Lauderdale
266,1.19,2330829.2,conventional,2015,Midsouth
267,1.65,52559.1,organic,2015,Midsouth
268,1.08,143464.64,conventional,2015,Nashville
269,1.81,3118.58,organic,2015,Nashville
270,1.03,267666.12,conventional,2015,New Orleans/Mobile
271,0.98,4739.17,organic,2015,New Orleans/Mobile
272,1.37,1044280.56,conventional,2015,New York
273,2.08,9204.78,organic,2015,New York
274,1.32,3066789.62,conventional,2015,Northeast
275,1.94,35304.15,organic,2015,Northeast
276,1.12,309202.71,conventional,2015,Northern New England
277,1.88,7618.91,organic,2015,Northern New England
278,1.33,191078.37,conventional,2015,Orlando
279,1.79,2151.76,organic,2015,Orlando
280,1.4,331495.41,conventional,2015,Philadelphia
281,1.93,1699.0,organic,2015,Philadelphia
282,0.67,1088608.66,conventional,2015,Phoenix/Tucson
283,1.36,12251.87,organic,2015,Phoenix/Tucson
284,1.47,59312.07,conventional,2015,Pittsburgh
285,1.55,3448.42,organic,2015,Pittsburgh
286,1.02,1674945.55,conventional,2015,Plains
287,1.8,29669.53,organic,2015,Plains
288,1.11,439617.61,conventional,2015,Portland
289,1.24,51904.44,organic,2015,Portland
290,1.22,204504.99,conventional,2015,Raleigh/Greensboro
291,1.97,3496.27,organic,2015,Raleigh/Greensboro
292,1.18,179038.39,conventional,2015,Richmond/Norfolk
293,1.62,3480.66,organic,2015,Richmond/Norfolk
294,1.18,112106.05,conventional,2015,Roanoke
295,1.48,5621.32,organic,2015,Roanoke
296,1.22,367047.36,conventional,2015,Sacramento
297,1.13,37233.34,organic,2015,Sacramento
298,1.01,461063.73,conventional,2015,San Diego
299,1.29,14473.73,organic,2015,San Diego
300,1.22,753746.51,conventional,2015,San Francisco
301,1.27,41482.48,organic,2015,San Francisco
302,1.2,463472.52,conventional,2015,Seattle
303,1.45,44616.23,organic,2015,Seattle
304,1.15,276205.95,conventional,2015,South Carolina
305,1.93,3024.32,organic,2015,South Carolina
306,0.79,5322625.57,conventional,2015,South Central
307,1.27,65242.77,organic,2015,South Central
308,1.19,2595783.66,conventional,2015,Southeast
309,1.79,25740.0,organic,2015,Southeast
310,1.18,69600.14,conventional,2015,Spokane
311,1.44,4363.13,organic,2015,Spokane
312,1.28,170590.85,conventional,2015,St. Louis
313,1.92,2923.4,organic,2015,St. Louis
314,1.4,40391.55,conventional,2015,Syracuse
315,1.84,627.8,organic,2015,Syracuse
316,1.27,228920.62,conventional,2015,Tampa
317,1.73,1751.2,organic,2015,Tampa
318,1.03,29043458.85,conventional,2015,Total U.S.
319,1.42,713120.0,organic,2015,Total U.S.
320,0.96,5475363.01,conventional,2015,West
321,1.33,251749.94,organic,2015,West
322,0.8,729795.72,conventional,2015,West Tex/New Mexico
323,1.71,5508.2,organic,2015,West Tex/New Mexico
324,1.06,45147.5,conventional,2015,Albany
325,1.89,1115.89,organic,2015,Albany
326,1.1,449332.85,conventional,2015,Atlanta
327,1.87,3047.38,organic,2015,Atlanta
328,1.2,692934.46,conventional,2015,Baltimore/Washington
329,1.41,15387.74,organic,2015,Baltimore/Washington
330,1.03,66069.21,conventional,2015,Boise
331,1.82,1174.53,organic,2015,Boise
332,1.17,409343.56,conventional,2015,Boston
333,2.01,1948.28,organic,2015,Boston
334,1.5,114052.94,conventional,2015,Buffalo/Rochester
335,1.6,1480.91,organic,2015,Buffalo/Rochester
336,1.06,4929884.26,conventional,2015,California
337,1.3,121698.02,organic,2015,California
338,1.18,167270.13,conventional,2015,Charlotte
339,2.29,2694.11,organic,2015,Charlotte
340,1.22,745439.17,conventional,2015,Chicago
341,1.83,10951.51,organic,2015,Chicago
342,0.93,213554.45,conventional,2015,Cincinnati/Dayton
343,1.26,10191.82,organic,2015,Cincinnati/Dayton
344,1.08,116995.68,conventional,2015,Columbus
345,1.67,4847.86,organic,2015,Columbus
346,0.8,1008295.47,conventional,2015,Dallas/Ft. Worth
347,1.34,11247.71,organic,2015,Dallas/Ft. Worth
348,1.02,695658.81,conventional,2015,Denver
349,1.33,22502.5,organic,2015,Denver
350,1.19,277325.29,conventional,2015,Detroit
351,1.62,8703.74,organic,2015,Detroit
352,1.19,144301.73,conventional,2015,Grand Rapids
353,2.01,711.52,organic,2015,Grand Rapids
354,1.13,2928692.32,conventional,2015,Great Lakes
355,1.63,59906.52,organic,2015,Great Lakes
356,1.17,206074.14,conventional,2015,Harrisburg/Scranton
357,1.8,2171.91,organic,2015,Harrisburg/Scranton
358,1.35,241174.11,conventional,2015,Hartford/Springfield
359,2.21,1920.19,organic,2015,Hartford/Springfield
360,0.77,983910.94,conventional,2015,Houston
361,1.24,11398.91,organic,2015,Houston
362,1.06,149473.79,conventional,2015,Indianapolis
363,1.78,1221.24,organic,2015,Indianapolis
364,1.2,109940.55,conventional,2015,Jacksonville
365,1.88,1140.32,organic,2015,Jacksonville
366,1.06,249509.99,conventional,2015,Las Vegas
367,1.66,5758.68,organic,2015,Las Vegas
368,0.96,2329987.29,conventional,2015,Los Angeles
369,1.23,38078.07,organic,2015,Los Angeles
370,1.02,86635.35,conventional,2015,Louisville
371,1.68,1201.46,organic,2015,Louisville
372,1.27,398055.71,conventional,2015,Miami/Ft. Lauderdale
373,1.84,1648.84,organic,2015,Miami/Ft. Lauderdale
374,1.15,2480820.72,conventional,2015,Midsouth
375,1.63,54932.83,organic,2015,Midsouth
376,1.07,140855.47,conventional,2015,Nashville
377,1.71,4448.88,organic,2015,Nashville
378,0.94,271448.06,conventional,2015,New Orleans/Mobile
379,1.47,1278.14,organic,2015,New Orleans/Mobile
380,1.36,1102868.27,conventional,2015,New York
381,2.02,14337.32,organic,2015,New York
382,1.27,3238501.89,conventional,2015,Northeast
383,1.92,40358.44,organic,2015,Northeast
384,1.06,290611.31,conventional,2015,Northern New England
385,1.9,6757.39,organic,2015,Northern New England
386,1.28,211991.09,conventional,2015,Orlando
387,1.82,1925.46,organic,2015,Orlando
388,1.36,355645.73,conventional,2015,Philadelphia
389,1.82,2888.62,organic,2015,Philadelphia
390,0.61,1233503.27,conventional,2015,Phoenix/Tucson
391,1.54,10849.4,organic,2015,Phoenix/Tucson
392,1.32,98722.79,conventional,2015,Pittsburgh
393,1.7,1441.14,organic,2015,Pittsburgh
394,1.08,1510836.96,conventional,2015,Plains
395,1.8,30207.8,organic,2015,Plains
396,1.09,432770.06,conventional,2015,Portland
397,1.35,30862.91,organic,2015,Portland
398,1.16,233277.19,conventional,2015,Raleigh/Greensboro
399,2.02,3359.58,organic,2015,Raleigh/Greensboro
400,1.17,194086.08,conventional,2015,Richmond/Norfolk
401,1.57,3860.33,organic,2015,Richmond/Norfolk
402,1.15,123070.18,conventional,2015,Roanoke
403,1.47,5411.77,organic,2015,Roanoke
404,1.19,360027.65,conventional,2015,Sacramento
405,1.44,9707.59,organic,2015,Sacramento
406,1.02,406591.11,conventional,2015,San Diego
407,1.26,11132.08,organic,2015,San Diego
408,1.21,713523.24,conventional,2015,San Francisco
409,1.34,27146.81,organic,2015,San Francisco
410,1.26,420124.11,conventional,2015,Seattle
411,1.7,29354.75,organic,2015,Seattle
412,1.06,311348.31,conventional,2015,South Carolina
413,2.01,2865.92,organic,2015,South Carolina
414,0.81,5142259.93,conventional,2015,South Central
415,1.37,58961.59,organic,2015,South Central
416,1.15,2778000.82,conventional,2015,Southeast
417,1.81,23809.3,organic,2015,Southeast
418,1.21,64116.71,conventional,2015,Spokane
419,1.66,3313.55,organic,2015,Spokane
420,1.17,176820.49,conventional,2015,St. Louis
421,1.93,4131.86,organic,2015,St. Louis
422,1.37,44517.84,conventional,2015,Syracuse
423,1.77,845.05,organic,2015,Syracuse
424,1.21,260471.23,conventional,2015,Tampa
425,1.75,1460.04,organic,2015,Tampa
426,1.04,28470310.84,conventional,2015,Total U.S.
427,1.53,556368.86,organic,2015,Total U.S.
428,0.94,5461313.9,conventional,2015,West
429,1.52,166494.38,organic,2015,West
430,0.8,720800.61,conventional,2015,West Tex/New Mexico
431,1.63,7324.06,organic,2015,West Tex/New Mexico
432,0.99,70873.6,conventional,2015,Albany
433,1.83,1228.51,organic,2015,Albany
434,0.96,636771.37,conventional,2015,Atlanta
435,1.44,7665.7,organic,2015,Atlanta
436,1.06,1007418.76,conventional,2015,Baltimore/Washington
437,1.15,27929.74,organic,2015,Baltimore/Washington
438,0.91,113578.24,conventional,2015,Boise
439,1.43,1780.76,organic,2015,Boise
440,1.22,490022.14,conventional,2015,Boston
441,1.78,2943.85,organic,2015,Boston
442,1.33,153920.35,conventional,2015,Buffalo/Rochester
443,1.55,2808.55,organic,2015,Buffalo/Rochester
444,0.85,9032180.67,conventional,2015,California
445,1.11,196031.9,organic,2015,California
446,0.98,254009.7,conventional,2015,Charlotte
447,1.93,3557.34,organic,2015,Charlotte
448,0.91,1133491.66,conventional,2015,Chicago
449,1.52,14391.05,organic,2015,Chicago
450,0.86,300905.18,conventional,2015,Cincinnati/Dayton
451,1.19,10707.5,organic,2015,Cincinnati/Dayton
452,0.87,216653.06,conventional,2015,Columbus
453,1.63,4215.96,organic,2015,Columbus
454,0.68,1391089.32,conventional,2015,Dallas/Ft. Worth
455,1.24,12276.58,organic,2015,Dallas/Ft. Worth
456,0.93,990211.57,conventional,2015,Denver
457,1.29,27527.63,organic,2015,Denver
458,0.92,539750.77,conventional,2015,Detroit
459,1.55,8707.92,organic,2015,Detroit
460,0.94,309471.69,conventional,2015,Grand Rapids
461,1.98,769.05,organic,2015,Grand Rapids
462,0.91,4874124.41,conventional,2015,Great Lakes
463,1.53,63248.58,organic,2015,Great Lakes
464,1.06,283137.88,conventional,2015,Harrisburg/Scranton
465,1.65,3796.16,organic,2015,Harrisburg/Scranton
466,1.32,297969.31,conventional,2015,Hartford/Springfield
467,1.54,6084.48,organic,2015,Hartford/Springfield
468,0.72,1280364.01,conventional,2015,Houston
469,1.15,12285.76,organic,2015,Houston
470,0.92,245352.56,conventional,2015,Indianapolis
471,1.69,1565.24,organic,2015,Indianapolis
472,0.92,237910.63,conventional,2015,Jacksonville
473,1.76,1591.75,organic,2015,Jacksonville
474,0.94,370223.11,conventional,2015,Las Vegas
475,1.6,7634.17,organic,2015,Las Vegas
476,0.74,4031949.04,conventional,2015,Los Angeles
477,1.12,50107.32,organic,2015,Los Angeles
478,0.9,125504.98,conventional,2015,Louisville
479,1.55,1336.46,organic,2015,Louisville
480,0.95,753300.79,conventional,2015,Miami/Ft. Lauderdale
481,1.73,1767.3,organic,2015,Miami/Ft. Lauderdale
482,0.99,3668037.65,conventional,2015,Midsouth
483,1.44,72159.84,organic,2015,Midsouth
484,0.94,221471.45,conventional,2015,Nashville
485,1.65,4205.27,organic,2015,Nashville
486,0.81,367711.87,conventional,2015,New Orleans/Mobile
487,1.48,2013.46,organic,2015,New Orleans/Mobile
488,1.36,1433763.11,conventional,2015,New York
489,1.93,24697.84,organic,2015,New York
490,1.23,4298883.17,conventional,2015,Northeast
491,1.78,63537.1,organic,2015,Northeast
492,1.06,412752.74,conventional,2015,Northern New England
493,1.89,6551.44,organic,2015,Northern New England
494,0.95,489224.51,conventional,2015,Orlando
495,1.76,2499.88,organic,2015,Orlando
496,1.14,569304.8,conventional,2015,Philadelphia
497,1.69,4907.41,organic,2015,Philadelphia
498,0.56,1544750.92,conventional,2015,Phoenix/Tucson
499,1.18,13645.72,organic,2015,Phoenix/Tucson
500,1.25,112065.73,conventional,2015,Pittsburgh
501,1.77,1427.11,organic,2015,Pittsburgh
502,0.92,2561325.42,conventional,2015,Plains
503,1.67,30193.16,organic,2015,Plains
504,0.98,776237.93,conventional,2015,Portland
505,1.2,39672.8,organic,2015,Portland
506,0.99,344288.82,conventional,2015,Raleigh/Greensboro
507,1.79,4385.19,organic,2015,Raleigh/Greensboro
508,0.97,308461.1,conventional,2015,Richmond/Norfolk
509,1.58,3916.98,organic,2015,Richmond/Norfolk
510,1.0,168217.72,conventional,2015,Roanoke
511,1.5,4941.74,organic,2015,Roanoke
512,1.04,771974.9,conventional,2015,Sacramento
513,1.22,13195.65,organic,2015,Sacramento
514,0.85,692276.13,conventional,2015,San Diego
515,1.11,18623.99,organic,2015,San Diego
516,0.91,1352027.64,conventional,2015,San Francisco
517,1.06,57802.02,organic,2015,San Francisco
518,0.97,933148.31,conventional,2015,Seattle
519,1.44,40334.59,organic,2015,Seattle
520,0.91,469684.32,conventional,2015,South Carolina
521,1.66,3977.03,organic,2015,South Carolina
522,0.71,6934356.31,conventional,2015,South Central
523,1.28,64156.46,organic,2015,South Central
524,0.93,4924049.79,conventional,2015,Southeast
525,1.6,35085.7,organic,2015,Southeast
526,0.97,135656.36,conventional,2015,Spokane
527,1.38,6444.84,organic,2015,Spokane
528,1.1,308371.9,conventional,2015,St. Louis
529,1.93,2688.02,organic,2015,St. Louis
530,1.26,57424.15,conventional,2015,Syracuse
531,1.65,1285.09,organic,2015,Syracuse
532,0.92,562242.53,conventional,2015,Tampa
533,1.68,2109.19,organic,2015,Tampa
534,0.89,44655461.51,conventional,2015,Total U.S.
535,1.36,740896.97,organic,2015,Total U.S.
536,0.84,8362504.08,conventional,2015,West
537,1.34,216484.22,organic,2015,West
538,0.71,916367.42,conventional,2015,West Tex/New Mexico
539,1.77,7210.19,organic,2015,West Tex/New Mexico
540,0.99,51253.97,conventional,2015,Albany
541,1.59,1770.87,organic,2015,Albany
542,1.03,433883.91,conventional,2015,Atlanta
543,1.29,13288.3,organic,2015,Atlanta
544,1.09,844931.21,conventional,2015,Baltimore/Washington
545,1.43,14898.15,organic,2015,Baltimore/Washington
546,1.07,69970.75,conventional,2015,Boise
547,1.35,3870.67,organic,2015,Boise
548,1.04,609985.34,conventional,2015,Boston
549,1.91,3098.29,organic,2015,Boston
550,1.36,132760.1,conventional,2015,Buffalo/Rochester
551,1.54,3414.8,organic,2015,Buffalo/Rochester
552,0.91,5871224.58,conventional,2015,California
553,1.35,132790.41,organic,2015,California
554,1.17,150139.38,conventional,2015,Charlotte
555,1.87,4011.02,organic,2015,Charlotte
556,1.13,729325.61,conventional,2015,Chicago
557,1.78,9910.84,organic,2015,Chicago
558,0.93,186617.2,conventional,2015,Cincinnati/Dayton
559,1.24,10351.99,organic,2015,Cincinnati/Dayton
560,0.96,128078.27,conventional,2015,Columbus
561,1.78,3483.64,organic,2015,Columbus
562,0.67,1207167.54,conventional,2015,Dallas/Ft. Worth
563,1.35,10315.32,organic,2015,Dallas/Ft. Worth
564,0.95,766576.39,conventional,2015,Denver
565,1.4,22798.51,organic,2015,Denver
566,1.11,268195.87,conventional,2015,Detroit
567,1.86,6499.18,organic,2015,Detroit
568,1.24,132621.01,conventional,2015,Grand Rapids
569,1.79,1083.77,organic,2015,Grand Rapids
570,1.07,2856456.35,conventional,2015,Great Lakes
571,1.64,58545.6,organic,2015,Great Lakes
572,1.02,239756.62,conventional,2015,Harrisburg/Scranton
